Nam,Tinh,SBD_New,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,MaMonNgoaiNgu,TongDiem,KhoiA,KhoiA1,KhoiB,KhoiC,KhoiD
19,17,6223,5.6,6.75,6.0,4.0,5.75,,,,9.4,N1,37.5,15.6,21.0,15.35,,21.75
22,36,1405,6.2,6.5,,,,7.0,8.0,8.75,3.6,,40.05,,,,21.5,16.3
23,28,2433,6.8,8.25,7.25,4.25,5.25,,,,6.6,N1,38.4,18.3,20.65,16.3,,21.65
23,12,3270,8.0,8.25,,,,7.0,7.0,8.75,7.2,N1,46.2,,,,22.25,23.45
23,2,33631,6.8,7.5,4.75,6.5,6.75,,,,5.0,N1,37.3,18.05,16.55,20.05,,19.3
21,2,74675,7.2,6.5,4.5,7.25,4.5,,,,7.4,,37.35,18.95,19.1,18.95,,21.1
17,1,54724,3.0,3.5,2.5,4.5,4.25,3.25,4.5,6.75,3.4,,24.4,10.0,8.9,11.75,11.25,9.9
22,25,13802,8.6,7.5,9.0,8.25,5.75,,,,7.4,,46.5,25.85,25.0,22.6,,23.5
19,29,31557,7.8,5.0,3.5,7.5,4.0,,,,3.2,N1,31.0,18.8,14.5,19.3,,16.0
17,30,10062,2.2,5.25,3.0,2.75,3.25,3.75,7.75,6.75,3.0,,28.7,7.95,8.2,8.2,16.75,10.45
24,40,6794,8.8,7.75,8.75,8.75,6.75,,,,2.8,N1,43.6,26.3,20.35,24.3,,19.35
21,2,79396,4.8,4.5,5.0,5.0,5.25,,,,,,,14.8,,15.05,,
24,28,11516,7.4,8.0,,,,7.75,9.75,7.75,6.2,N1,46.85,,,,25.5,21.6
22,61,9622,2.6,5.75,,,,3.25,4.5,5.25,3.6,,24.95,,,,13.5,11.95
23,18,9733,4.8,7.25,,,,6.75,6.75,,,,,,,,20.75,
17,1,13888,9.4,7.5,8.75,9.0,4.5,,,,8.0,,47.15,27.15,26.15,22.9,,24.9
19,47,2616,7.8,6.25,7.25,7.5,4.75,,,,5.8,N1,39.35,22.55,20.85,20.05,,19.85
24,2,61523,7.4,7.0,7.0,7.5,4.5,,,,7.0,N1,40.4,21.9,21.4,19.4,,21.4
22,40,1371,2.4,4.25,,,,4.0,5.25,6.25,3.0,,25.15,,,,13.5,9.65
24,46,5064,8.0,7.25,6.75,7.0,7.0,,,,3.8,N1,39.8,21.75,18.55,22.0,,19.05
22,49,1427,4.0,6.75,,,,8.25,5.75,9.25,4.6,,38.6,,,,20.75,15.35
18,16,12379,4.8,6.0,,,,4.25,5.75,7.25,4.2,,32.25,,,,16.0,15.0
24,33,5363,8.0,7.75,8.0,4.25,3.75,,,,6.4,N1,38.15,20.25,22.4,16.0,,22.15
21,59,2433,7.2,7.75,5.25,5.5,6.5,,,,7.4,,39.6,17.95,19.85,19.2,,22.35
19,25,17442,6.2,7.0,,,,5.5,7.5,8.25,5.6,N1,40.05,,,,20.0,18.8
17,19,9308,8.2,5.0,6.25,7.0,3.0,,,,3.6,,33.05,21.45,18.05,18.2,,16.8
22,1,95847,8.2,7.5,,,,7.75,6.25,9.0,,,,,,,21.5,
19,45,4954,6.6,5.0,6.25,6.25,5.5,,,,3.0,N1,32.6,19.1,15.85,18.35,,14.6
21,29,12893,7.6,7.5,2.0,7.0,6.75,,,,5.4,,36.25,16.6,15.0,21.4,,20.5
20,52,5635,7.8,8.5,5.25,5.75,7.0,,,,6.6,N1,40.9,18.8,19.65,20.55,,22.9
18,28,31836,1.4,2.7,,,,2.0,5.0,,,,,,,,9.7,
17,1,8259,7.4,5.0,6.0,7.75,2.75,,,,5.2,,34.1,21.15,18.6,17.9,,17.6
17,34,12126,3.8,5.25,3.5,4.0,2.5,4.75,7.0,7.25,3.0,,31.05,11.3,10.3,10.3,17.0,12.05
22,2,37567,6.8,5.0,5.0,6.5,4.5,,,,6.2,,34.0,18.3,18.0,17.8,,18.0
20,2,36848,8.4,6.0,7.75,6.5,4.75,,,,8.2,N1,41.6,22.65,24.35,19.65,,22.6
19,28,31670,2.6,5.75,,,,2.75,3.5,7.25,2.8,N1,24.65,,,,12.0,11.15
21,17,12485,6.2,8.25,,,,4.75,6.75,9.25,3.8,,39.0,,,,19.75,18.25
18,10,8913,4.0,6.25,,,,3.5,6.0,6.0,2.0,,27.75,,,,15.75,12.25
17,24,6751,2.6,1.75,,,,4.25,5.0,,,,,,,,11.0,
19,12,14124,3.2,3.5,2.75,4.5,4.75,,,,2.2,N1,20.9,10.45,8.15,12.45,,8.9
20,25,9384,6.4,7.25,,,,5.25,8.75,9.0,3.4,N1,40.05,,,,21.25,17.05
24,1,107416,8.4,9.0,,,,8.75,8.0,8.25,8.0,N1,50.4,,,,25.75,25.4
22,2,29560,5.6,6.5,,,,5.0,5.0,8.75,3.8,,34.65,,,,16.5,15.9
21,2,82125,7.6,6.0,,,,5.75,6.25,10.0,8.4,,44.0,,,,18.0,22.0
17,2,28148,6.2,5.0,5.75,5.5,6.75,,,,5.4,,34.6,17.45,17.35,18.45,,16.6
22,52,6477,4.4,3.5,,,,4.75,4.0,,,,,,,,12.25,
24,28,25883,6.2,7.75,,,,6.25,7.25,8.75,3.4,N1,39.6,,,,21.25,17.35
24,50,2059,7.4,7.5,6.25,5.5,5.75,,,,5.0,N1,37.4,19.15,18.65,18.65,,19.9
21,23,2714,7.4,5.0,,,,5.5,6.25,8.75,7.4,,40.3,,,,16.75,19.8
21,15,15792,6.2,7.75,,,,6.25,8.0,9.5,4.8,,42.5,,,,22.0,18.75
